"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,5,4,"Jackknife MVN",0.932168550873587,1,3.46528039778707,2.52918058708853,4.26439050890803,"Jackknife MVN",0.9209726443769,3.26102360265452,2.33542880713031,4.02716984170679
1,5,4,"LEF outcome",0.833,2,0.678497539352047,0.411960460376746,0.880382066110661,"Jackknife Wald",0.822,0.976417204442895,0.247987224699739,1.18151945444861
1,5,4,"LEF both",0.832,3,0.676996698139667,0.413798605968775,0.87479199826323,"LEF both",0.806,0.617855303582063,0.345817099840507,0.824122003053936
1,5,4,"Jackknife Wald",0.82,4,0.955943002678158,0.266836065720707,1.1970312400974,"LEF outcome",0.804,0.628039356984107,0.354462295657196,0.846684207134505
1,5,4,"Bootstrap",0.738,5,0.733094107894724,0.331494161327063,0.978535132923187,"Bootstrap",0.737,0.728383178383778,0.316903828263625,0.962718840038047
1,5,4,"Sandwich",0.698648648648649,6,0.54619295867764,0.277376143941791,0.721722715940165,"Sandwich",0.70891364902507,0.511173400817137,0.273817582347235,0.691756798340277
1,6,0,"LEF both",0.936,1,1.69843956602811,0.8388666605531,2.35003790549629,"LEF both",0.931,1.64942220318781,0.815337169123496,2.23697001788261
1,6,0,"LEF outcome",0.936,1,1.69843956629401,0.83886665858033,2.35003790549629,"LEF outcome",0.931,1.64942220475903,0.8153371873893,2.23697002063791
1,6,0,"Sandwich",0.897849462365591,2,1.62351445273903,1.37423997287354,1.92480996184841,"Sandwich",0.917948717948718,1.56954753986881,1.27165463677862,1.76948281106855
1,6,0,"Bootstrap",0.675,3,0.883829507619531,0.441129986558118,1.20694547257422,"Bootstrap",0.722,0.857592984445136,0.398982733983338,1.21064515311103
1,6,0,"Jackknife Wald",0.645,4,0.913292738944638,0.368714276928591,1.22452414639433,"Jackknife Wald",0.635,0.874034930293393,0.361373384322364,1.23490092863444
1,6,0,"Jackknife MVN",0.611881188118812,5,11.9619063074493,2.65414187491418,20.704238028056,"Jackknife MVN",0.598790322580645,11.0957160162736,2.3139096925587,20.3199116712562
1,6,1,"LEF both",0.956,1,1.01882716530562,0.529283241631694,1.29622516440938,"LEF outcome",0.93,1.03643840814875,0.560274356844298,1.33665171638384
1,6,1,"LEF outcome",0.956,1,1.0210307263513,0.529005798513447,1.29506605770539,"LEF both",0.929,1.02731139208854,0.559213340704151,1.33824107029867
1,6,1,"Sandwich",0.774193548387097,2,1.29384969515599,0.67622875699237,1.65613135191981,"Sandwich",0.846153846153846,1.16005737549749,0.656443248987561,1.6275350619507
1,6,1,"Jackknife MVN",0.679207920792079,3,6.63484402082145,3.41817398619951,8.6912557332803,"Jackknife Wald",0.637,0.823163192764328,0.234168041524716,0.920147532497191
1,6,1,"Jackknife Wald",0.671,4,0.847911892972378,0.233962487803546,1.10679223148614,"Jackknife MVN",0.629032258064516,6.56802291843711,3.48854940376035,8.91170014844008
1,6,1,"Bootstrap",0.618,5,0.769735183620496,0.308439066032122,1.0020583226294,"Bootstrap",0.57,0.755732047865954,0.308438214264948,0.981985290835021
1,6,2,"LEF both",0.913,1,0.56770440618835,0.336335642481559,0.695047553492915,"LEF outcome",0.894,0.513119287553091,0.297785175112821,0.627008856037843
1,6,2,"LEF outcome",0.913,1,0.568416321777124,0.335317412283651,0.694191225180894,"LEF both",0.893,0.50888866157782,0.296503368594379,0.626555305888118
